Inserted List,,ORF Name,Gene Name
PAU8,,YAL068C,PAU8
SEO1,,YAL067C,SEO1
YAL066W,,YAL066W,YAL066W
YAL065C,,YAL065C,YAL065C
YAL064W-B,,YAL064W-B,YAL064W-B
TDA8,,YAL064C-A,TDA8
YAL064W,,YAL064W,YAL064W
FLO9,,YAL063C,FLO9
YBR089W,,YBR089W,YBR089W
NHP6b,,YBR089C-A,NHP6b
YBR090C,,YBR090C,YBR090C
TIM12,,YBR091C,TIM12
PHO3,,YBR092C,PHO3
PHO5,,YBR093C,PHO5
PBY1,,YBR094W,PBY1
RXT2,,YBR095C,RXT2
YBR096W,,YBR096W,YBR096W
VPS15,,YBR097W,VPS15
MMS4,,YBR098W,MMS4
YBR099C,,YBR099C,YBR099C
FES1,,YBR101C,FES1
EXO84,,YBR102C,EXO84
SIF2,,YBR103W,SIF2
YBR103C-A,,YBR103C-A,YBR103C-A
YMC2,,YBR104W,YMC2
VID24,,YBR105C,VID24
PHO88,,YBR106W,PHO88
IML3,,YBR107C,IML3
AIM3,,YBR108W,AIM3
CMD1,,YBR109C,CMD1
ALG1,,YBR110W,ALG1
YSA1,,YBR111C,YSA1
CYC8,,YBR112C,CYC8
YBR113W,,YBR113W,YBR113W
RAD16,,YBR114W,RAD16
LYS2,,YBR115C,LYS2
YBR116C,,YBR116C,YBR116C
TKL2,,YBR117C,TKL2
TEF2,,YBR118W,TEF2
MUD1,,YBR119W,MUD1
CBP6,,YBR120C,CBP6
GRS1,,YBR121C,GRS1
MRPL36,,YBR122C,MRPL36
TFC1,,YBR123C,TFC1
YBR124W,,YBR124W,YBR124W
PTC4,,YBR125C,PTC4
TPS1,,YBR126C,TPS1
VMA2,,YBR127C,VMA2
ATG14,,YBR128C,ATG14
OPY1,,YBR129C,OPY1
SHE3,,YBR130C,SHE3
CCZ1,,YBR131W,CCZ1
AGP2,,YBR132C,AGP2
HSL7,,YBR133C,HSL7
YBR134W,,YBR134W,YBR134W
CKS1,,YBR135W,CKS1
MEC1,,YBR136W,MEC1
YBR137W,,YBR137W,YBR137W
YBR138C,,YBR138C,YBR138C
YBR139W,,YBR139W,YBR139W
IRA1,,YBR140C,IRA1
BMT2,,YBR141C,BMT2
MAK5,,YBR142W,MAK5
SUP45,,YBR143C,SUP45
YBR144C,,YBR144C,YBR144C
ADH5,,YBR145W,ADH5
MRPS9,,YBR146W,MRPS9
RTC2,,YBR147W,RTC2
YSW1,,YBR148W,YSW1
ARA1,,YBR149W,ARA1
TBS1,,YBR150C,TBS1
APD1,,YBR151W,APD1
SPP381,,YBR152W,SPP381
RIB7,,YBR153W,RIB7
RPB5,,YBR154C,RPB5
CNS1,,YBR155W,CNS1
SLI15,,YBR156C,SLI15
ICS2,,YBR157C,ICS2
AMN1,,YBR158W,AMN1
IFA38,,YBR159W,IFA38
CDC28,,YBR160W,CDC28
TOS1,,YBR162C,TOS1
YSY6,,YBR162W-A,YSY6
EXO5,,YBR163W,EXO5
ARL1,,YBR164C,ARL1
UBS1,,YBR165W,UBS1
TYR1,,YBR166C,TYR1
POP7,,YBR167C,POP7
PEX32,,YBR168W,PEX32
SSE2,,YBR169C,SSE2
NPL4,,YBR170C,NPL4
SEC66,,YBR171W,SEC66
SMY2,,YBR172C,SMY2
UMP1,,YBR173C,UMP1
YBR174C,,YBR174C,YBR174C
SWD3,,YBR175W,SWD3
ECM31,,YBR176W,ECM31
EHT1,,YBR177C,EHT1
YBR178W,,YBR178W,YBR178W
FZO1,,YBR179C,FZO1
DTR1,,YBR180W,DTR1
RPS6b,,YBR181C,RPS6b
SMP1,,YBR182C,SMP1
YPC1,,YBR183W,YPC1
YBR184W,,YBR184W,YBR184W
MBA1,,YBR185C,MBA1
PCH2,,YBR186W,PCH2
GDT1,,YBR187W,GDT1
NTC20,,YBR188C,NTC20
RPS9b,,YBR189W,RPS9b
YBR190W,,YBR190W,YBR190W
RPL21a,,YBR191W,RPL21a
YBR191W-A,,YBR191W-A,YBR191W-A
RIM2,,YBR192W,RIM2
MED8,,YBR193C,MED8
AIM4,,YBR194W,AIM4
MSI1,,YBR195C,MSI1
PGI1,,YBR196C,PGI1
YBR197C,,YBR197C,YBR197C
TAF5,,YBR198C,TAF5
KTR4,,YBR199W,KTR4
BEM1,,YBR200W,BEM1
DER1,,YBR201W,DER1
MCM7,,YBR202W,MCM7
COS111,,YBR203W,COS111
LDH1,,YBR204C,LDH1
KTR3,,YBR205W,KTR3
YBR206W,,YBR206W,YBR206W
FTH1,,YBR207W,FTH1
"DUR1,2",,YBR208C,"DUR1,2"
YBR209W,,YBR209W,YBR209W
ERV15,,YBR210W,ERV15
AME1,,YBR211C,AME1
NGR1,,YBR212W,NGR1
MET8,,YBR213W,MET8
SDS24,,YBR214W,SDS24
HPC2,,YBR215W,HPC2
YBP1,,YBR216C,YBP1
ATG12,,YBR217W,ATG12
PYC2,,YBR218C,PYC2
YBR220C,,YBR220C,YBR220C
PDB1,,YBR221C,PDB1
PCS60,,YBR222C,PCS60
TDP1,,YBR223C,TDP1
YBR224W,,YBR224W,YBR224W
YBR225W,,YBR225W,YBR225W
YBR226C,,YBR226C,YBR226C
MCX1,,YBR227C,MCX1
SLX1,,YBR228W,SLX1
ROT2,,YBR229C,ROT2
OM14,,YBR230C,OM14
SWC5,,YBR231C,SWC5
YBR232C,,YBR232C,YBR232C
PBP2,,YBR233W,PBP2
DAD3,,YBR233W-A,DAD3
ARC40,,YBR234C,ARC40
VHC1,,YBR235W,VHC1
ABD1,,YBR236C,ABD1
PRP5,,YBR237W,PRP5
YBR238C,,YBR238C,YBR238C
ERT1,,YBR239C,ERT1
THI2,,YBR240C,THI2
YBR241C,,YBR241C,YBR241C
YBR242W,,YBR242W,YBR242W
ALG7,,YBR243C,ALG7
GPX2,,YBR244W,GPX2
ISW1,,YBR245C,ISW1
RRT2,,YBR246W,RRT2
ENP1,,YBR247C,ENP1
HIS7,,YBR248C,HIS7
ARO4,,YBR249C,ARO4
SPO23,,YBR250W,SPO23
MRPS5,,YBR251W,MRPS5
DUT1,,YBR252W,DUT1
SRB6,,YBR253W,SRB6
TRS20,,YBR254C,TRS20
MTC4,,YBR255W,MTC4
RCF3,,YBR255C-A,RCF3
RIB5,,YBR256C,RIB5
POP4,,YBR257W,POP4
SHG1,,YBR258C,SHG1
YBR259W,,YBR259W,YBR259W
RGD1,,YBR260C,RGD1
TAE1,,YBR261C,TAE1
MIC12,,YBR262C,MIC12
SHM1,,YBR263W,SHM1
YPT10,,YBR264C,YPT10
TSC10,,YBR265W,TSC10
REI1,,YBR267W,REI1
YBR266C,,YBR266C,YBR266C
MRPL37,,YBR268W,MRPL37
SDH8,,YBR269C,SDH8
BIT2,,YBR270C,BIT2
EFM2,,YBR271W,EFM2
HSM3,,YBR272C,HSM3
UBX7,,YBR273C,UBX7
CHK1,,YBR274W,CHK1
RIF1,,YBR275C,RIF1
PPS1,,YBR276C,PPS1
YBR277C,,YBR277C,YBR277C
DPB3,,YBR278W,DPB3
PAF1,,YBR279W,PAF1
SAF1,,YBR280C,SAF1
DUG2,,YBR281C,DUG2
MRPL27,,YBR282W,MRPL27
SSH1,,YBR283C,SSH1
YBR284W,,YBR284W,YBR284W
YBR285W,,YBR285W,YBR285W
APE3,,YBR286W,APE3
YBR287W,,YBR287W,YBR287W
APM3,,YBR288C,APM3
SNF5,,YBR289W,SNF5
BSD2,,YBR290W,BSD2
CTP1,,YBR291C,CTP1
YBR292C,,YBR292C,YBR292C
VBA2,,YBR293W,VBA2
SUL1,,YBR294W,SUL1
PCA1,,YBR295W,PCA1
PHO89,,YBR296C,PHO89
MAL33,,YBR297W,MAL33
MAL31,,YBR298C,MAL31
MAL32,,YBR299W,MAL32
YBR300C,,YBR300C,YBR300C
PAU24,,YBR301W,PAU24
COS2,,YBR302C,COS2
YCL076W,,YCL076W,YCL076W
GEX1,,YCL073C,GEX1
VBA3,,YCL069W,VBA3
YCL068C,,YCL068C,YCL068C
HMLALPHA2,,YCL067C,HMLALPHA2
HMLALPHA1,,YCL066W,HMLALPHA1
YCL065W,,YCL065W,YCL065W
CHA1,,YCL064C,CHA1
VAC17,,YCL063W,VAC17
MRC1,,YCL061C,MRC1
KRR1,,YCL059C,KRR1
FYV5,,YCL058C,FYV5
MIC10,,YCL057C-A,MIC10
PRD1,,YCL057W,PRD1
PEX34,,YCL056C,PEX34
KAR4,,YCL055W,KAR4
SPB1,,YCL054W,SPB1
PBN1,,YCL052C,PBN1
LRE1,,YCL051W,LRE1
APA1,,YCL050C,APA1
YCL049C,,YCL049C,YCL049C
SPS22,,YCL048W,SPS22
POF1,,YCL047C,POF1
EMC1,,YCL045C,EMC1
YCL046W,,YCL046W,YCL046W
MGR1,,YCL044C,MGR1
PDI1,,YCL043C,PDI1
YCL041C,,YCL041C,YCL041C
YCL042W,,YCL042W,YCL042W
GLK1,,YCL040W,GLK1
GID7,,YCL039W,GID7
ATG22,,YCL038C,ATG22
SRO9,,YCL037C,SRO9
GFD2,,YCL036W,GFD2
GRX1,,YCL035C,GRX1
LSB5,,YCL034W,LSB5
MXR2,,YCL033C,MXR2
STE50,,YCL032W,STE50
RRP7,,YCL031C,RRP7
HIS4,,YCL030C,HIS4
BIK1,,YCL029C,BIK1
RNQ1,,YCL028W,RNQ1
FUS1,,YCL027W,FUS1
HBN1,,YCL026C-B,HBN1
FRM2,,YCL026C-A,FRM2
AGP1,,YCL025C,AGP1
YCL023C,,YCL023C,YCL023C
KCC4,,YCL024W,KCC4
YCL021W-A,,YCL021W-A,YCL021W-A
LEU2,,YCL018W,LEU2
NFS1,,YCL017C,NFS1
DCC1,,YCL016C,DCC1
BUD3,,YCL014W,BUD3
GBP2,,YCL011C,GBP2
SGF29,,YCL010C,SGF29
ILV6,,YCL009C,ILV6
STP22,,YCL008C,STP22
CWH36,,YCL007C,CWH36
LDB16,,YCL005W,LDB16
PGS1,,YCL004W,PGS1
YCL002C,,YCL002C,YCL002C
RER1,,YCL001W,RER1
YCL001W-A,,YCL001W-A,YCL001W-A
YCL001W-B,,YCL001W-B,YCL001W-B
YCR001W,,YCR001W,YCR001W
CDC10,,YCR002C,CDC10
MRPL32,,YCR003W,MRPL32
YCP4,,YCR004C,YCP4
CIT2,,YCR005C,CIT2
YCR006C,,YCR006C,YCR006C
YCR007C,,YCR007C,YCR007C
SAT4,,YCR008W,SAT4
RVS161,,YCR009C,RVS161
ADY2,,YCR010C,ADY2
ADP1,,YCR011C,ADP1
PGK1,,YCR012W,PGK1
YCR013C,,YCR013C,YCR013C
POL4,,YCR014C,POL4
CTO1,,YCR015C,CTO1
YCR016W,,YCR016W,YCR016W
CWH43,,YCR017C,CWH43
SRD1,,YCR018C,SRD1
YCR018C-A,,YCR018C-A,YCR018C-A
MAK32,,YCR019W,MAK32
PET18,,YCR020C,PET18
MAK31,,YCR020C-A,MAK31
HTL1,,YCR020W-B,HTL1
HSP30,,YCR021C,HSP30
YCR022C,,YCR022C,YCR022C
YCR023C,,YCR023C,YCR023C
SLM5,,YCR024C,SLM5
PMP1,,YCR024C-A,PMP1
YCR025C,,YCR025C,YCR025C
NPP1,,YCR026C,NPP1
RHB1,,YCR027C,RHB1
FEN2,,YCR028C,FEN2
RIM1,,YCR028C-A,RIM1
