Inserted List,ORF Name,Gene Name
YAL001C,YAL001C,TFC3
YAL002W,YAL002W,VPS8
YAL003W,YAL003W,EFB1
YAL004W,YAL004W,YAL004W
YAL005C,YAL005C,SSA1
YAL007C,YAL007C,ERP2
YAL008W,YAL008W,FUN14
YAL009W,YAL009W,SPO7
YAL010C,YAL010C,MDM10
YAL011W,YAL011W,SWC3
YAL012W,YAL012W,CYS3
YAL013W,YAL013W,DEP1
YAL014C,YAL014C,SYN8
YAL015C,YAL015C,NTG1
YAL016W,YAL016W,TPD3
YAL017W,YAL017W,PSK1
YAL018C,YAL018C,LDS1
YAL019W,YAL019W,FUN30
YAL020C,YAL020C,ATS1
YAL021C,YAL021C,CCR4
YAL022C,YAL022C,FUN26
YAL023C,YAL023C,PMT2
YAL024C,YAL024C,LTE1
YAL025C,YAL025C,MAK16
YAL026C,YAL026C,DRS2
YAL027W,YAL027W,SAW1
YAL028W,YAL028W,FRT2
YAL029C,YAL029C,MYO4
YAL030W,YAL030W,SNC1
YAL031C,YAL031C,GIP4
YAL032C,YAL032C,PRP45
YAL033W,YAL033W,POP5
YAL034C,YAL034C,FUN19
YAL034W-A,YAL034W-A,MTW1
YAL035C-A,Unknown,Unknown
YAL035W,YAL035W,FUN12
YAL036C,YAL036C,RBG1
YAL037W,YAL037W,YAL037W
YAL038W,YAL038W,CDC19
YAL039C,YAL039C,CYC3
YAL040C,YAL040C,CLN3
YAL041W,YAL041W,CDC24
YAL042W,YAL042W,ERV46
YAL043C,YAL043C,PTA1
YAL043C-A,Unknown,Unknown
YAL044C,YAL044C,GCV3
YAL045C,YAL045C,YAL045C
YAL046C,YAL046C,BOL3
YAL047C,YAL047C,SPC72
YAL048C,YAL048C,GEM1
YAL049C,YAL049C,AIM2
YAL051W,YAL051W,OAF1
YAL053W,YAL053W,FLC2
YAL054C,YAL054C,ACS1
YAL055W,YAL055W,PEX22
YAL056W,YAL056W,GPB2
YAL058C-A,Unknown,Unknown
YAL058W,YAL058W,CNE1
YAL059W,YAL059W,ECM1
YAL060W,YAL060W,BDH1
YAL061W,YAL061W,BDH2
YAL062W,YAL062W,GDH3
YAL063C,YAL063C,FLO9
YAL064C-A,YAL064C-A,TDA8
YAL064W,YAL064W,YAL064W
YAL064W-B,YAL064W-B,YAL064W-B
YAL065C,YAL065C,YAL065C
YAL066W,YAL066W,YAL066W
YAL067C,YAL067C,SEO1
YAL068C,YAL068C,PAU8
YAL069W,Unknown,Unknown
YAR002C-A,YAR002C-A,ERP1
YAR002W,YAR002W,NUP60
YAR003W,YAR003W,SWD1
YAR007C,YAR007C,RFA1
YAR008W,YAR008W,SEN34
YAR009C,YAR009C,YAR009C
YAR010C,YAR010C,YAR010C
YAR014C,YAR014C,BUD14
YAR015W,YAR015W,ADE1
YAR018C,YAR018C,KIN3
YAR019C,YAR019C,CDC15
YAR020C,YAR020C,PAU7
YAR023C,YAR023C,YAR023C
YAR027W,YAR027W,UIP3
YAR028W,YAR028W,YAR028W
YAR029W,YAR029W,YAR029W
YAR030C,YAR030C,YAR030C
YAR031W,YAR031W,PRM9
YAR033W,YAR033W,MST28
YAR035W,YAR035W,YAT1
YAR042W,YAR042W,SWH1
YAR044W,YAR044W,OSH1
YAR047C,YAR047C,YAR047C
YAR050W,YAR050W,FLO1
YAR053W,YAR053W,YAR053W
YAR060C,YAR060C,YAR060C
YAR061W,YAR061W,YAR061W
YAR062W,YAR062W,YAR062W
YAR064W,YAR064W,YAR064W
YAR066W,YAR066W,YAR066W
YAR068W,YAR068W,YAR068W
YAR069C,YAR069C,YAR069C
YAR070C,YAR070C,YAR070C
YAR071W,YAR071W,PHO11
YAR073W,YAR073W,IMD1
YAR075W,YAR075W,YAR075W
YBL001C,YBL001C,ECM15
YBL002W,YBL002W,HTB2
YBL003C,YBL003C,HTA2
YBL004W,YBL004W,UTP20
YBL005W,YBL005W,PDR3
YBL005W-A,YBL005W-A,YBL005W-A
YBL005W-B,YBL005W-B,YBL005W-B
YBL006C,YBL006C,LDB7
YBL007C,YBL007C,SLA1
YBL008W,YBL008W,HIR1
YBL009W,YBL009W,ALK2
YBL010C,YBL010C,YBL010C
YBL011W,YBL011W,SCT1
YBL012C,YBL012C,YBL012C
YBL013W,YBL013W,FMT1
YBL014C,YBL014C,RRN6
YBL015W,YBL015W,ACH1
YBL016W,YBL016W,FUS3
YBL017C,YBL017C,PEP1
YBL018C,YBL018C,POP8
YBL019W,YBL019W,APN2
YBL020W,YBL020W,RFT1
YBL021C,YBL021C,HAP3
YBL022C,YBL022C,PIM1
YBL023C,YBL023C,MCM2
YBL024W,YBL024W,NCL1
YBL025W,YBL025W,RRN10
YBL026W,YBL026W,LSM2
YBL027W,YBL027W,RPL19b
YBL028C,YBL028C,YBL028C
YBL029W,YBL029W,YBL029W
YBL030C,YBL030C,PET9
YBL031W,YBL031W,SHE1
YBL032W,YBL032W,HEK2
YBL033C,YBL033C,RIB1
YBL034C,YBL034C,STU1
YBL035C,YBL035C,POL12
YBL036C,YBL036C,YBL036C
YBL037W,YBL037W,APL3
YBL038W,YBL038W,MRPL16
YBL039C,YBL039C,URA7
YBL040C,YBL040C,ERD2
YBL041W,YBL041W,PRE7
YBL042C,YBL042C,FUI1
YBL043W,YBL043W,ECM13
YBL044W,YBL044W,YBL044W
YBL045C,YBL045C,COR1
YBL046W,YBL046W,PSY4
YBL047C,YBL047C,EDE1
YBL048W,YBL048W,YBL048W
YBL049W,YBL049W,MOH1
YBL050W,YBL050W,SEC17
YBL051C,YBL051C,PIN4
YBL052C,YBL052C,SAS3
YBL053W,YBL053W,YBL053W
YBL054W,YBL054W,TOD6
YBL055C,YBL055C,YBL055C
YBL056W,YBL056W,PTC3
YBL057C,YBL057C,PTH2
YBL058W,YBL058W,SHP1
YBL059W,YBL059W,YBL059W
YBL060W,YBL060W,YEL1
YBL061C,YBL061C,SKT5
